"Geneid","GeneName","NewName","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000106459","NRF1","ENSG00000106459_NRF1",895,332,396,455
"ENSG00000106460","TMEM106B","ENSG00000106460_TMEM106B",1792,1011,802,990
"ENSG00000106462","EZH2","ENSG00000106462_EZH2",2619,743,1141,944
"ENSG00000106477","CEP41","ENSG00000106477_CEP41",787,446,340,450
"ENSG00000106479","ZNF862","ENSG00000106479_ZNF862",539,600,290,349
"ENSG00000106484","MEST","ENSG00000106484_MEST",1502,950,1037,1453
"ENSG00000106524","ANKMY2","ENSG00000106524_ANKMY2",465,383,276,425
"ENSG00000106526","ACTR3C","ENSG00000106526_ACTR3C",142,69,48,70
"ENSG00000106537","TSPAN13","ENSG00000106537_TSPAN13",1244,813,726,928
"ENSG00000106541","AGR2","ENSG00000106541_AGR2",15,23,106,30
"ENSG00000106546","AHR","ENSG00000106546_AHR",297,243,164,250
"ENSG00000106554","CHCHD3","ENSG00000106554_CHCHD3",2682,1390,1650,1957
"ENSG00000106560","GIMAP2","ENSG00000106560_GIMAP2",74,32,58,34
"ENSG00000106571","GLI3","ENSG00000106571_GLI3",1358,890,561,1031
"ENSG00000106588","PSMA2","ENSG00000106588_PSMA2",263,118,117,132
